trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.59139763785258,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-44.94650850223865,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-110.26909725817173,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-120.5966871913164,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-87.08168517953226,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,-45.46992748654193,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-52.6501252403083,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9993875625234886}",25,0,-143.3345703263804,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-83.2629387107713,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-80.04524808479594,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-127.32756673001526,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9984878812375985}",20,0,-134.43682548495687,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9982005399352042}",25,0,-73.12455058084595,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9978882436713011}",20,0,-119.53345904904884,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-91.80874956799086,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9971888181122075}",30,17,-29.5900526478741,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-86.85977989091289,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9963896745022904}",20,0,-25.11179071592986,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-133.17116037284626,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-114.29885008622814,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-155.2966970336982,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9944925627484974}",30,0,-155.30161342403832,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-42.307458679832,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9933947843142158}",25,0,-101.43365650753215,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-154.70483202483197,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-83.99124768405049,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-31.64811978412291,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
