trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.10358021594841,"{0: 17, 1: 1, 2: 11, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.76778863024421,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.39138327443635,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.71253295145151,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.63340758734994,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,13,-2.6076805800868934,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.1313090047301,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.21385872239857,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.41723053580927,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-267.02631848903223,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.2018203822802,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-222.21550963166476,"{0: 17, 1: 6, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.63347257900173,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.64400230987405,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.1461687658736,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.42378148607726,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.57102563597289,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.8930000348279,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-252.8291892811056,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.2613433803505,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-6.37665477128084,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,11,-100.04697007209367,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.62838830007613,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.093833125392536,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-208.90858598101687,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.19089670698207,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.37377087969983,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.10862182558678,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,5,-48.03350122674617,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.49694494426905,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
